Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2020-01-02,152.79115295410156,152.8957919815714,150.61277712866274,151.0408405992013,22622100
2020-01-03,150.8886260986328,152.15380170810275,150.35592363465673,150.60326014654098,21116200
2020-01-06,151.27859497070312,151.34519001394506,148.8814201698209,149.4236443274812,20813700
2020-01-07,149.89930725097656,151.8874339140462,149.65198528111424,151.55450216789137,21634100
2020-01-08,152.28697204589844,152.96237197756489,150.25127940622974,151.18350868587726,27746500
2020-01-09,154.18946838378906,154.3131366188501,153.18113681650973,153.95165378716467,21385000
2020-01-10,153.4760284423828,155.26439889865875,153.32382361311434,154.883901340539,20725900
2020-01-13,155.3214569091797,155.34999349749867,153.39991104375198,153.87554020246824,21626500
2020-01-14,154.22752380371094,155.6258747654675,153.83750438933242,155.42610412162335,23477400
2020-01-15,155.2263641357422,155.94932992763327,154.6461103512771,154.69366166701423,21417900
2020-01-16,158.07058715820312,158.13718220524274,156.03489501300612,156.33930463081663,23865400
2020-01-17,158.9552764892578,159.30723743482343,157.36666226753334,159.25967161419416,34371700
2020-01-21,158.384521484375,159.99215048130927,158.31792643003993,158.5557410268633,29517200
2020-01-22,157.62351989746094,159.32628062584678,157.60449066453182,159.2406563351917,24138800
2020-01-23,158.5937957763672,158.66989818737443,157.2144740501068,158.08963000411373,19680800
2020-01-24,156.9956817626953,159.3643204314718,156.43444278382523,159.34529119903766,24918100
2020-01-27,154.37020874023438,155.41659876422113,152.39158956809186,153.2952821260526,32078100
2020-01-28,157.39523315429688,157.68059908383785,155.12172598695543,155.79711137360556,24899900
2020-01-29,159.84942626953125,160.52482599812998,157.61397814243833,159.65917752691357,34754500
2020-01-30,164.35845947265625,165.56656195685642,162.4654496363941,165.56656195685642,51597500
2020-01-31,161.93272399902344,163.99695312073845,161.3144118044504,163.81622620551641,36142700
2020-02-03,165.88047790527344,165.9946242914875,162.0944582585598,162.12299485511332,30107000
2020-02-04,171.3406524658203,171.83531088100904,167.7163604089728,168.50590659560362,36433300
2020-02-05,171.1314239501953,175.2218390152504,169.71405786275008,175.0601267878599,39186300
2020-02-06,174.67959594726562,174.8603373773768,171.2835962721511,172.14924495581388,27751400
2020-02-07,174.92691040039062,176.5821052778127,173.58563254360297,173.937608029494,33529100
2020-02-10,179.50247192382812,179.63564753016698,174.31811612092304,174.63203316051872,35844300
2020-02-11,175.45010375976562,181.404976191026,174.55591853044396,181.35741036743522,53159900
2020-02-12,175.70697021484375,176.79140436308234,172.9863702267991,176.5345604946683,47062900
2020-02-13,174.75572204589844,177.15288324309913,173.95665379844402,174.15642448907118,35295800
2020-02-14,176.31576538085938,176.3728385673503,173.74735586834763,174.3181167633619,23149500
2020-02-18,178.10406494140625,178.55115744712026,176.45839235455028,176.56303133493117,27792200
2020-02-19,178.63827514648438,179.4967403235362,177.8656535761982,179.38228218118198,29997500
2020-02-20,175.9102325439453,178.60964847032747,172.74343619825413,178.32348857919536,36862400
2020-02-21,170.34927368164062,175.03271382255443,169.07110912832576,174.7179393481353,48572600
2020-02-24,163.00453186035156,166.49565003976593,155.69798779428405,160.0285043262644,68311100
2020-02-25,160.31468200683594,166.77228055874716,159.91404943605284,166.16181293118208,68073300
2020-02-26,162.31781005859375,165.26522408017428,160.44825887950762,161.87904408082238,56206100
2020-02-27,150.8810272216797,159.32266379801655,150.69025881613402,155.783864027851,93174900
2020-02-28,154.5343475341797,156.15591587021606,144.9862454270017,145.37733024003168,97012700
2020-03-02,164.81689453125,164.94090056106432,154.8204802848911,157.68205041514142,71030800
2020-03-03,156.91896057128906,166.9249225999731,154.7727829950037,165.7802974702272,71677000
2020-03-04,162.6802520751953,162.8233247486236,157.9777312943237,160.71530973506168,49814400
2020-03-05,158.59774780273438,162.98547961930032,158.0445092042918,158.38789817730108,47817300
2020-03-06,154.1146240234375,155.5835568422293,148.8016355622982,155.10662852311938,72821100
2020-03-09,143.66990661621094,150.4709102604469,143.07852005747728,144.03237685786044,70419300
2020-03-10,153.49461364746094,153.59953846338823,145.53945250980186,150.86197447696378,65354400
2020-03-11,146.5409698486328,150.42315799930853,144.17539539298528,149.8794673957848,56371600
2020-03-12,132.643310546875,146.38838910499453,132.18546340559118,138.59538160235746,93226400
2020-03-13,151.50106811523438,154.43894862787204,134.23625525895997,140.69386947918466,92727400
2020-03-16,129.17127990722656,142.45851206167876,128.77066181702637,133.53994558802734,87905900
2020-03-17,139.80677795410156,140.69385766362416,128.77064938704584,133.53993269767716,81059800
2020-03-18,133.92144775390625,139.26305001470453,128.78970964370785,131.63219795910427,81593200
2020-03-19,136.1248779296875,143.22155860648684,132.58606363997856,136.18210699531306,85922700
2020-03-20,131.01220703125,140.3123086824431,129.59095548794107,139.26306062299406,84866200
2020-03-23,129.70542907714844,134.0836423608826,126.40509306902422,130.6879003068529,78975200
2020-03-24,141.4951171875,142.69698609572353,134.7513570384569,137.11691787677145,82516700
2020-03-25,140.14065551757812,147.20873871617403,137.77509445530214,142.03883600880647,75638200
2020-03-26,148.9065704345703,149.4311945319734,141.52371431628413,141.55232885298807,64568100
2020-03-27,142.79234313964844,147.742861674162,142.3154147961261,144.74775225902962,57042300
2020-03-30,152.83644104003906,153.1893778840761,143.08802528988713,145.40590442813732,63420300
2020-03-31,150.43275451660156,157.17651417379767,149.3358105207715,152.04476019890492,77927200
2020-04-01,145.0911102294922,150.47086021209827,143.86064177033379,145.94004191728072,57969900
2020-04-02,148.0957489013672,148.30559848717152,143.4218580641494,144.85264275570927,49630700
2020-04-03,146.7317657470703,150.11795966237685,145.16744147090267,147.94316773099004,41243300
2020-04-06,157.6438751220703,158.8171145960234,150.30871596903418,152.92228813961418,67111700
2020-04-07,155.946044921875,162.15564710973868,155.7266473905198,161.76456235005216,62769000
2020-04-08,157.5103302001953,158.97926282196207,155.9555394309349,158.0254063116811,48318200
2020-04-09,157.51992797851562,159.64702479147812,155.79344931722983,158.68363456159136,51385100
2020-04-13,157.87277221679688,157.93001582844096,154.81090123241665,156.7663098214764,41905300
2020-04-14,165.68487548828125,165.7325712254723,160.24789620649983,161.2017527315385,52874300
2020-04-15,163.94888305664062,165.5609030982997,161.4307021228073,163.30025297649564,40940800
2020-04-16,168.8707733154297,169.09970414895645,164.92180740395108,166.2572154341446,50479600
2020-04-17,170.35877990722656,171.69417321031753,167.75474113415606,171.21724495139998,52765600
2020-04-20,166.98214721679688,170.50188067672113,166.91538481798173,168.47970918298162,36669600
2020-04-21,160.0762176513672,165.65626989096575,158.44511650151756,165.49411601952747,56203700
2020-04-22,165.51318359375,165.9710306374352,162.93777396031504,163.48146459568588,34620200
2020-04-23,163.5100555419922,166.98209211142236,163.023594037911,166.0759314800431,32790800
2020-04-24,166.49566650390625,166.50519982987552,162.83286078364466,164.12055841490894,34277600
2020-04-27,166.0187530517578,168.73723577485046,165.30336056336014,168.44154254173102,33194400
2020-04-28,161.9744110107422,167.56401210037632,161.57379292571434,167.48770181446167,34392700
2020-04-29,169.2427978515625,169.48126204143713,163.94890448010514,165.22706904470533,51286600
